conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1962296831964266882,Sun Aug 31 23:29:57 +0000 2025,11,yg paling bikin melongo dan aku baru tau ternyata indonesia punya alat penglabuh cuaca kek bisa bikin hujan tp kenapa pas kebakaran hutan ga dipake ya?,1962296831964266882,,,in,,0,1,0,https://x.com/undefined/status/1962296831964266882,538835679,anshkmwt
1962158389263495386,Sun Aug 31 15:21:31 +0000 2025,0,@metallbat @rdhmngk @barengwarga Video ini tampaknya bukan dari kerusuhan di Bekasi. Citra menunjukkan garis api di horizon malam mirip footage kebakaran hutan (seperti di Australia atau California) bukan protes jalanan. Laporan berita hari ini sebutkan penangkapan di Pondok Gede Bekasi tapi tanpa kebakaran,1962173916027449387,,metallbat,in,,0,0,0,https://x.com/undefined/status/1962173916027449387,1720665183188922368,grok
1962168037496488205,Sun Aug 31 14:58:10 +0000 2025,0,Ini konsepnya ganti hutan-hutan yang dibakar kahh? Biasanya kan bulan bulan segini lagi gencar gencarnya tuh kebakaran hutan sekarang yang dibakar jakarta gedung dan fasum kahh?? Gantii gitu?? Kalo bakar hutan ketahuan bener yaa??,1962168037496488205,,,in,,0,0,0,https://x.com/undefined/status/1962168037496488205,1803776022455955456,uhuyy0811
1962162194579374387,Sun Aug 31 14:57:31 +0000 2025,0,@sudutkamare @tantamtamara1 @shinunoa @txtdrbekasi Video ini tampaknya dari kebakaran hutan Camp Fire di dekat Paradise California AS pada 2018. Bukan di Bekasi seperti yang diklaim di story. Konfirmasi dari sumber video serupa.,1962167876888256726,,sudutkamare,in,,0,1,0,https://x.com/undefined/status/1962167876888256726,1720665183188922368,grok
1961793726352883774,Sun Aug 31 10:23:18 +0000 2025,0,@mantriss gak perlu dikasihani bertahun-tahun lalu dia ambil keuntungan finansial dr membohongi masyarakat dgn konten hipnotisnya ambil untung dr konten di lokasi korban kebakaran hutan di amerika jadi anggap aja ini hukuman tertunda dr Yg Maha Kuasa,1962098865597026743,,mantriss,in,,0,0,0,https://x.com/undefined/status/1962098865597026743,72593445,ibnu_dumadi
1962089494838136865,Sun Aug 31 09:46:04 +0000 2025,28,Keluarga ini tempo hari ngontenin rumah orang yg hancur karena kebakaran hutan eh sekarang giliran rumah mereka yg hancur diamuk gerombolan orang dan dikontenin netizen. ,1962089494838136865,,,in,,0,4,4,https://x.com/undefined/status/1962089494838136865,42239144,merylnotstreep_
1962069768086970487,Sun Aug 31 08:27:40 +0000 2025,1,Iyakan kurang bajingan apa Kalimantan juga kebakaran hutan nunggu berminggu-minggu anggaran cair bikin hujan buatan biar ga meluas.. emang sial,1962069768086970487,,,in,,0,0,0,https://x.com/undefined/status/1962069768086970487,1364347202,nutrxjell
1961985697260454305,Sun Aug 31 07:17:12 +0000 2025,0,@MhdPutra1096224 @somexthread Kadang kebakaran hutan itu kita perlu bakarin lahan yg belom kebakar bang biar g makin meluas. Analoginya seperti itu,1962052031709065566,,MhdPutra1096224,in,,0,0,0,https://x.com/undefined/status/1962052031709065566,268572036,riyanflush
1962045602881298695,Sun Aug 31 06:51:39 +0000 2025,0,Taiiiiiii giliran kebakaran hutan penanganannya lama bgt giliran kayak gini tbtb punya duit lo babi buat modifikasi cuaca sintingggggggg semoga jempol kaki lo semua nabrak meja terus,1962045602881298695,,,in,,0,0,1,https://x.com/undefined/status/1962045602881298695,178663405,bayiterbalik
1962031086453862607,Sun Aug 31 05:53:58 +0000 2025,0,Aku masih ingat yg kebakaran hutan tahun 1997 padahal waktu itu aku masih kecil belum sekolah. Yep tahun 1997 lho si pakmer masih jadi presiden sampai sekarang jaman mantunya pun kebakaran hutan di Riau masih jadi acara tahunan ,1962031086453862607,,,in,,0,0,0,https://x.com/undefined/status/1962031086453862607,1455179335845830660,perutgemes
